error,label,pred,text,category
FN,1,0,"love.. My pores are smaller, I break out less and my skin is a more even texture. The feeling of the serum was weird to start but, I got used to it.",0
FN,1,0,"Nice, but developed an allergy from this :(. The cleanser wasn't bad- left my face soft and clean and helped keep my skin clear. After about one month of use I developed an allergy- my skin is normally fine with all other cleansers I've used so this is RARE. There may be some irritants in this cleanser, so be careful if your skin can be sensitive.",1
FN,1,0,"A little pricey for 6 patches but a decent product. My first impression was that it comes in really nice individual packaging once you open it up compared to similar acne dot patches that's typically come in one sleeve. I had higher expectations going into it than I should have but it did help after one use. It definitely decreases the size and swelling if used overnight but didn't eliminate the pimple. Like says, you should use it every other night for a few days, so don't think it's supposed to be a miracle working one night trick. I wouldn't waste one of these for any use other than overnight to get the most out of it.My first impression was that it comes in really nice individual packaging once you open it up compared to similar acne dot patches that's typically come in one sleeve. I had higher expectations going into it than I should have but it did help after one use. It definitely decreases the size and swelling if used overnight but didn't eliminate the pimple. I wouldn't waste one of these for any use other than overnight to get the most out of it. I received this as a complementary sample from Influenster for reviewing purposes.",0
FN,1,0,"Actually made my skin feel dry. This product smells nice and has some great reviews, but unfortunately it did not work for me. I have dry and sensitive skin, and honestly after putting this product on it made my skin feel drier. Maybe this is better for other skin types.",1
FN,1,0,"my first try at a hemp product!. I usually use Kate Somerville, but this was a nice switch! My skin was beginning to get too used to KS and I was experiencing more dryness over the winter months. After using this along with the afterglow cream, I actually noticed a difference in my skin. It feels brighter and I haven't had any flaking at all!",0
FN,1,0,"“SPF 50” but failed to prevent sunburn. I wanted this to be better. I'm sure it would have if I had less sunburn prone or less acne prone skin. Caused me to either break out or just didn't protect my skin like I would expect an SPF level of 50! I go for a 20 minute walk outside and come back red. The whole point of the on-the-go sun protection boost did not deliver. Disappointing, but I'll try a different Supergoop product again.",1
FN,1,0,"Amazing!. I adore this balm!So hydrating, amazing for calming irritation and redness if you leave it on for a few minutes. Doesn't dry out skin, and the size you get for the amount is the cherry on top.",0
FN,1,0,"This is a serious review! Please read it!. Ok, a little background for you! I am 26 years old and I have been struggling with adult acne for 4 years. I have tried everything out there, and nothing seemed to work. I get facials every month and I have a very rigid skin care regime (I use clarasonic every day, I have oily acne prone skin with enlarged pores, meaning, everything is a concern), but, again, I was still breaking out every other day. Then I decided to change my skin, even if it I had to use acids and peelings. But, right before I switched my regime to a acne fighter with Proactive and acids, I even considered taking powerful medication if needed, I decided to try this product in conjunction with Boscia clear completion cleanser and toner. And, girls, IT WORKED!In less than 2 weeked my skin is CLEAR, that's the first time in years!This is how I do it: I only use it before bed, I wash my face with Boscia cleanser following with the toner. After that, I apply my eye cream and then this lotion ONLY on problematic areas (cite: this product is very potent and it will burn sensitive areas of your face like apples of your chicks and skin around your month that are naturally thinner, so avoid those areas). Use only a very small amount and smooth it until it is invisible, then I apply my night cream over my entire face. DON'T forget to wear sunscreen the next day, since this product makes your skin sensitive to the sun, and please, moisturize your skin at least twice a day because this product tends to dry your skin a little bit.I just can't believe how my skin looks now. But I also know that benzoyl peroxide is not for everyone! Many people who try it have irritations and reactions to this substance, so give it a try, but DO NOT insist if your skin can't handle it.This is incredible product and I can't imagine how my skin looks now!I am completely satisfied with its results!",1
FN,1,0,"I wanted to love it!. I wanted so badly to love this! I like the texture of this a lot, and it feels super nice under the eyes (not too oily or thick) BUT after the first night using it, I noticed the next morning that my milia was more pronounced and I had a few little clogged pores around the area where I applied this. Unfortunately, I don't think it agreed with my skin! I would still recommend trying it out, because it may work for other skin types or those without sensitive undereyes, but for me, it's a no.",1
FN,1,0,GOOD. I really like this cleanser! It's been very calming for my redness. And I've been using this with the oil cleaner and it's been a great combo for my acne and blockheads. I see a a noticeable difference in the mornings. Acne is a lot less red and more subdued.,0
FN,1,0,"Great Face Wash. I have weird combination/sensitive skin, which leaves me with a flushed face when irritated. Because of this I have to buy very specific products with non-irritants. I got received this product complimentary to test from Influenster and it's been a  great facewash! It does have a nice scent, but I am not opposed to scented products. It lathers nicely and leaves your skin feeling hydrated and clean without feeling stripped. You also get a lot of product for your buck! Will definitely buy again!",0
FN,1,0,"Not Good!. I am an avid toner user, and this is the worst one I've ever used. If you are looking for a straight toner, this product does not perform like a toner. A hydrating essence - yes. First, this product is THICK, not a liquid. Second, it does it absorb fully into the skin, no matter how much time you give it to absorb. This “toner” does not play nice with the rest of my products (serum and moisturizer). It keeps the rest of my products from absorbing, making them sit on top of my skin as well. One of the main purposes of a toner is to make you other products work better—NOT WORSE! The other main purpose of a toner is to balance out your skin- this product made me oily skinned, which I am not. This product is a major fail and maybe should be labeled a hydrating essence, most definitely not a “toner”",0
FN,1,0,". I received a sample of this for a weeks worth of use from Influenster. It has a good consistency and definitely hydrated, but hydrated more than my skin in particular needed. My face grew increasingly more oily throughout the week as I used this product.",0
FN,1,0,Not recommended. I had beautiful skin. Always fresh & clean. Used this & I broke out!!! Extremely disappointed & would never use again. I'll stick to The Ordinary products,1
FN,1,0,"really good product. I love this SPF it's a great base for makeup, doesn't cling on to dry patches and sets matte. Some sunscreens melt on your face when you sweat and irritate the eyes but this SPF stays put, definitely a repurchase",0
FN,1,0,"Will not repurchase. I like the way this feels on my skin but I needed to use a lot of it because it's such a thin consistency. It also stings my eyes, which isn't ideal for eye makeup.I'm not going to repurchase when I finish the bottle.",1
FN,1,0,". My skin has recently been going through a major crisis with changes in the weather. Everything from dry patches, redness, stinging, basically anything you can think of! I went into Sephora because I knew what I was using was not cutting it for my skin (currently been using Clinique Moisture Surge). I talked to one of the skin specialists and she recommended this product. I explained to her what I was currently using, and she explained that the Clinique Moisture Surge is more of a drink of water for my skin rather than actual moisturizing properties. She suggested I try this and right when I got home, I washed my face and put it on and my skin already feels 200% better. Super moisturized, not heavy or greasy. Just plain moisture! I've tried everything from Kiehl's to Ole Hendrickson, you name it. Pretty much every brand of moisturizer out there and this one is truly the best. And I've only used it just now! But I can already tell it is well worth the price.",0
FN,1,0,". i do love love love this cleanser. it leaves my skin feeling amazing. and now that its not in that pump bottle that gets all gross i love it even more, though w. out the pumps i feel like i use more product than necessary based on the texture/viscosity of ceramic slipthe price point, however, knocks off a star. i can get almost as good, if not just as good of a cleanse with less costly products.. in most cases its a significantly larger volume of product for $10-15 less.",0
FN,1,0,"Try good molecules instead for the same price. I use and try a lot of skin care, I DO NOT LIKE THIS ONE! I gave it 2 stars for the price point, which is the only redeeming quality. The skin does look more glowy, as to be expected from A niacinamide, but when you press it into the skin the texture is yucky and turns milky. Good molecules makes a better niacinamide￼",0
FN,1,0,"Great Salve!. This product is truly both versatile and effective. The main reason I bought this product was because of some dryness and scabbing on my feet; after just a few days of applying this product my feet showed great improvement.    This salve is also used on any flaky, dry patches I have on my face as well as a means to deliver moisture and aid to my cracked lips.    All in all it's a great product that I will definitely repurchase when I run out.",0
FP,0,1,"My go-to cleanser for combo skin. This cleanser has served me well for several years. The tiny frothy bubbles make me feel like it's working well and it really does lift makeup nicely. I use it for daily cleansing, and a few months ago I began to also pair it twice weekly with a Clarisonic Mia brush and have noticed a dramatic reduction in the blemishes that I used to get along my chin. I have non-irritable Caucasian combo skin. My only complaint is that Sephora no longer carries the big 8 oz size, which was great to keep in the shower.",0
FP,0,1,"Great Product from Lancôme!. This stuff is glass skin in a bottle! First off the packaging is gorgeous & looks so luxe on my vanity. I use this as a toner/essence step & my dry skin loves it. It's not too heavy on the skin, & makes it feel fully moisturized!",0
FP,0,1,Needs time but it works!. Not fast acting but this product definitely reduces skin discoloration.  I am 56 and I'm going back to order the largest size.  Please be patient and follow directions and you will be very happy with the results.,0
FP,0,1,". Love this product! The gel texture is so smooth and lightweight, yet so moisturizing. Very slight fragrance, which I love, but disappears quickly.",0
FP,0,1,"This product control oils well.. This product uses ingredients that they are clean and sustainable. The green cray is easy to dry without dripping. After leave it on my face for 10 minutes and wash out. I can feel my skin is smoother, and it can control the oil pretty well. Thanks for #freeproduct let me try it!",0
FP,0,1,. Just finished the YTTP Supferfood Air-whip moisturizer and I loved it! Such a lightweight but super hydrating cream that work well for my combination skin. There's no scent and it absorbs well. It layered well over any serums I'd apply under it. This is a great moisturizer for maintenance and hydration.,0
FP,0,1,"Stress free mask experience. This mask is one of the easiest and most pleasant I've used! The pump bottle is handy, the texture is lovely and not messy to apply or remove. And the smell is divine!! It made my skin so soft after one use, I think I need to continue using to see any major difference. But overall I'm happy with this product, it's a nice way to treat yourself without the usual faff of masks.",0
FP,0,1,"GLOWING!. I notice my face is glowing immediately after one use!! I use this only on my T-zone because I'm pretty sensitive around my cheeks, but I love this!",0
FP,0,1,. Feels fantastic on my face! I love washing my face with this it feels so clean and it's so gentle on my face! I would definitely get again and I definitely recommend!,0
FP,0,1,"Amazing moisturizer!!!. I am loving this moisturizer! It isn't too thick but it is hydrating and makes my skin look and feel so smooth. I love all the organic ingredients and even though I have very sensitive skin, it didn't make me break out or anything. It doesn't have too strong of a scent and the packaging is simple and cute. I highly recommend this for anyone with combination and dry skin. My skin does tend to get dry during the winter and this worked sooo well for me. I highly recommend it!!!",0
FP,0,1,Terrible!. Very much disappointed. There was no seal when I opened the package. Looks like I got some used product. I am super annoyed how I received my order. Very much disappointed by the seller or whoever packaged it and send me this product.,0
FP,0,1,Niiccee!. I love the way my skin feels so nice when I use this moisturizer. I always use this in the night before bedtime. Only thing that worries me sometime is I am prone to breakout esp with some thick texture. Thankfully I haven't had issues with breakouts after using this moisturizer ( just saying).,0
FP,0,1,A must!. Love this! I've been using it on a daily and I'm loving the results so far ! A small amount goes a very long way ! I high recommend to try this out you won't be disappointed! I recently also purchased this for my mom and so far she's also enjoying it.  Gifted by dermalogica,0
FP,0,1,". My favorite things about this mask are that it has clean ingredients, is super hydrating, and goes on clear so I can wear it on a plane without looking like a weirdo. I travel fairly often so this mask is perfect for me and I have gotten a lot of use out of it. I have also been using it as a hydrating sleeping mask. I will say, the full size is a little large for travel, so I recommend the travel size for plane use and the full size for using as a sleeping mask at home. This product was given to me free by influenster in exchange for my honest review.",0
FP,0,1,great mask. So its hasnt comoletely transformed my skin or aanything but when i use this in conjunctionsome other masls i noticed my breakouts go away faster and my skin has been clearer overall,0
FP,0,1,. MAkes my face feel brand new like I have a new layer of skin,0
FP,0,1,. my holy grail product this deserves to go viral on tiktok but i hope it doesn't it better not sell out,0
FP,0,1,". Gifted by Dermalogica. This is a nice addition to prep the skin before you go in with your serum and moisturizer, especially during the winter months. It is definitely more than a toner, and it feels better on the skin. That said, I wouldn't consider it necessary. It The mist is not very fine. It smells like lavender, which I find very calming, but that might be an issue if you're sensitive to essential oils.",0
FP,0,1,"Game changer for my skin.. I use this daily along with the lactic acid and it has transformed my skin! I've had problems with redness, splotchy areas and uneven skin tone. My skin is also super sensitive. My face is so much clearer, it looks like I have makeup on - I have to do a double take sometimes. I'm hooked.",0
FP,0,1,". This moisturizer did not work for me! I have combination/sensitive/acne prone skin and it was WAY too heavy for me. It was very thick, sticky and hard to apply. However, it did help calm and soothe the redness in my skin which is why I gave it 3 stars. I do think this would be a great moisturizer for someone who is very dry and not acne prone! The smell is light and pleasant and I love the packaging. I also love that the ingredients are clean! I wish it worked for my skin type.",0
